ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,0.41,-0.04,0.14,4.24,4.22,3.21,0.14,1,0.01,0.81,0.03,0.01,0.17,0.64,-0.01,1.19,0.08,0.1,-0.46,0.14,0.17,0
2022 GLOBAL YATIRIM HOLDİNG A.Ş.,5.18,4.6,1.36,1.06,1.02,0.43,0.02,0,0,1.13,-0.04,-0.01,0.02,0.11,-0.03,0.52,0.02,0,-8.23,0.02,0.03,0
2022 GLOBAL MENKUL DEĞERLER A.Ş.,7.11,5.55,6.95,1.13,1.13,0.22,0.12,0.02,0,0.08,-1.91,-0.02,1.42,0.01,0,0.51,0.04,0.01,1.19,0.12,1.28,0
2022 GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,1.44,1.22,1.12,1.29,0.78,0.19,0.05,0,0,0.84,-0.17,-0.06,0.06,0.15,-0.11,0.26,0.08,0.02,0.77,0.05,0.19,0
2022 FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,0.66,0.61,0.5,2.05,0.77,0.11,0.08,0,0,0.6,-0.29,-0.1,0.13,0.39,-0.04,0.33,0.16,0.05,60.53,0.08,0.4,0
2022 FASDAT GIDA DAĞITIM SANAYİ VE TİCARET A.Ş.,2.62,2.51,2.39,1.29,0.91,0.05,0.17,0.8,0.07,0.4,-0.11,-0.01,0.43,0.06,-0.02,0.84,0.07,0.05,-20.68,0.17,0.49,0
2022 FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,0.34,0.29,0.17,1.88,1.23,0.31,0.33,0,0.04,0.15,2.51,0.29,2.16,0.16,-0.04,14.39,0.02,0.25,52.14,0.33,0.41,0
2022 EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,0.89,0.49,0.59,2.32,1.53,0.68,0.28,0,0,0.27,0.12,0.02,1.03,0.23,-0.11,1.14,0.12,0.15,-0.02,0.28,0.43,0
2022 EREĞLİ TEKSTİL TURİZM SANAYİ VE TİCARET A.Ş.,1.4,1.35,1.24,1.19,0.6,0.04,0.17,0.08,0.03,0.77,-0.12,-0.04,0.23,0.25,-0.01,0.71,0.13,0.07,-29.31,0.17,0.31,0
2022 EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,1.53,1.49,1.21,1.32,0.89,0.03,0.04,0.23,0.03,0.87,-0.05,-0.02,0.05,0.09,-0.22,0.47,0.03,0.02,45.55,0.04,0.08,0
2022 ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,0.62,0.55,0.51,2.62,2.02,0.15,0.22,0.74,0,0.27,-0.16,-0.03,0.81,0.28,-0.2,0.87,0.2,0.14,10.94,0.22,1.14,0
2022 DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,5.57,5.37,4.29,1.08,0.59,0.05,0.43,0,0.03,0.72,-0.97,-0.11,0.59,0.24,-0.07,0.45,0.19,0.07,478.52,0.43,0.65,0
2022 DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,1.33,0.97,1.25,1.38,0.8,0.28,0.46,0.68,0.05,0.21,0.03,0,2.21,0.18,-0.01,1.01,0.25,0.2,1.26,0.46,1.07,0
2022 DOĞAN TREND OTOMOTİV TİCARET HİZMET VE TEKNOLOJİ A.Ş.,4.88,3.37,4.67,0.96,0.77,0.32,0.56,0,0.01,1.14,-0.28,-0.06,0.49,0.18,-0.01,0.61,0.14,0.1,13.9,0.56,0.59,0
2022 DENGE YATIRIM HOLDİNG A.Ş.,0.73,0.51,0.29,1.23,1.21,0.76,0.41,0.01,0,0.03,16.05,0.26,14.36,0.08,-0.16,47.75,0.01,0.24,2.99,0.41,0.34,0
